"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"427577","491457",".00",".00",".00","10000.00","10000.00","10000.00","48.60",".00",".00","48.60","9951.40","10000.00",".00",".00","10000.00","10000.00","10000.00",".00","48.60","48.60","9951.40","","{726EC709-C724-745B-3DEF-8D3B467411BF}"
"427579","491459","854.62",".00",".00",".00",".00","854.62","356.50",".00",".00","356.50","498.12",".00","2581.76",".00",".00",".00","2581.76","1727.14","356.50","2083.64","498.12","","{86498982-7ABB-A072-62F2-7F91B2853AC9}"
"427580","491460","77.86",".00",".00",".00",".00","77.86",".00",".00",".00",".00","77.86",".00","77.86",".00",".00",".00","77.86",".00",".00",".00","77.86","","{F9FA3BC7-0918-7FDB-4187-AC3410932F92}"
"427581","491461","6195.64","8160.00",".00",".00","8160.00","14355.64","1044.65",".00",".00","1044.65","13310.99","50.00","8806.44","850.00","8160.00","9010.00","17816.44","3460.80","1044.65","4505.45","13310.99","","{6FD3B2A7-2B06-299C-B918-B47AC839B0A3}"
"427582","491462",".33","7.47",".00",".00","7.47","7.80","7.80",".00",".00","7.80",".00",".00",".33",".00","7.47","7.47","7.80",".00","7.80","7.80",".00","","{D7D467CE-B221-55BB-1B72-4E3962B40EE8}"
"427585","491465","40976.25",".00",".00",".00",".00","40976.25","1674.00",".00",".00","1674.00","39302.25",".00","35457.37","11153.38",".00","11153.38","46610.75","5634.50","1674.00","7308.50","39302.25","","{F2010A99-674E-5C78-CA6F-44913BCA633A}"
"427586","491466","1505.37","2695.00",".00",".00","2695.00","4200.37","1927.24",".00",".00","1927.24","2273.13",".00",".00","1737.00","2695.00","4432.00","4432.00","231.63","1927.24","2158.87","2273.13","","{92A9487D-6FA3-56EA-B079-B3BCEE87EE77}"
"427587","491467",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","9745.51","109.09",".00",".00",".00","109.09","109.09",".00","109.09",".00","","{DEBA8403-1506-1F54-D5B0-BEED2ACB9271}"
"427594","491474","43.77",".00",".00",".00",".00","43.77",".00",".00",".00",".00","43.77",".00","43.77",".00",".00",".00","43.77",".00",".00",".00","43.77","","{6954458D-43F2-7CB2-8BC2-BE970EC32E7B}"
"427595","491475","516.93",".00",".00",".00",".00","516.93",".00",".00",".00",".00","516.93",".00","616.93",".00",".00",".00","616.93","100.00",".00","100.00","516.93","","{F002C20C-8D9C-AA86-52B9-C17C4ED7F20A}"
