"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"427870","491768","355.01",".00",".00",".00",".00","355.01",".00",".00",".00",".00","355.01","12700.00","355.01",".00",".00",".00","355.01",".00",".00",".00","355.01","","{B0B5AE8A-2065-B844-D89C-36CE8C0AC301}"
"427872","491770","905.67","94.33",".00",".00","94.33","1000.00",".00","1000.00",".00","1000.00",".00",".00","905.67",".00","94.33","94.33","1000.00",".00","1000.00","1000.00",".00","","{863B807E-4836-97C2-0B3B-EE09F6D2CFF2}"
"427874","491772",".00","500.00",".00",".00","500.00","500.00","164.04",".00",".00","164.04","335.96",".00",".00",".00","500.00","500.00","500.00",".00","164.04","164.04","335.96","","{D9BCDC50-EFC2-AB82-FA8B-A52DE8D29616}"
"427876","491774","8853.37",".00",".00",".00",".00","8853.37","1371.75",".00",".00","1371.75","7481.62",".00","13030.17","17429.00",".00","17429.00","30459.17","21605.80","1371.75","22977.55","7481.62","","{2972B6B6-72CB-D209-827D-10D391CC601B}"
"427877","491775","58248.82","5637.50",".00",".00","5637.50","63886.32","12003.58",".00",".00","12003.58","51882.74",".00","61314.79","11245.00","5637.50","16882.50","78197.29","14310.97","12003.58","26314.55","51882.74","","{FE19A5EC-0E9D-2169-DD09-6A1D9708EF1E}"
"427879","491782","5404.96","318.00",".00",".00","318.00","5722.96","12.57",".00",".00","12.57","5710.39",".00","5193.33","338.00","318.00","656.00","5849.33","126.37","12.57","138.94","5710.39","","{1BD7CA98-1EF5-DD2D-DC06-32110B5036BA}"
"427880","491783","9657.32",".00",".00",".00",".00","9657.32","7267.38",".00",".00","7267.38","2389.94",".00","9657.32",".00",".00",".00","9657.32",".00","7267.38","7267.38","2389.94","","{5CB1067B-C5D6-C730-9FA7-67A4961E5D02}"
"427881","491784","1.00",".00",".00",".00",".00","1.00",".00",".00",".00",".00","1.00","807.13","1.00","21.00",".00","21.00","22.00","21.00",".00","21.00","1.00","","{91CFF278-B95E-12BC-4350-FA037FDAD515}"
"427882","491785","-7095.17",".00",".00",".00",".00","-7095.17",".00",".00",".00",".00","-7095.17",".00","23973.91",".00",".00",".00","23973.91",".00",".00",".00","23973.91","","{B00C3E48-FBE7-B37B-4C7E-295A6A67C5EC}"
"427883","491788",".00","5000.00",".00",".00","5000.00","5000.00",".00",".00",".00",".00","5000.00",".00",".00",".00","5000.00","5000.00","5000.00",".00",".00",".00","5000.00","","{AC341B92-4018-A11D-4A2E-EA94DE8F2C8E}"
"427884","491789","951.38",".00",".00",".00",".00","951.38",".00",".00",".00",".00","951.38",".00","951.38",".00",".00",".00","951.38",".00",".00",".00","951.38","","{EACD6DF3-CA24-03F1-D547-8BF07ADF2F5E}"
"427886","491791","20371.21","3300.00","3780.23",".00","7080.23","27451.44","13970.68","3649.44",".00","17620.12","9831.32",".00",".00","32121.23","7080.23","39201.46","39201.46","11750.02","17620.12","29370.14","9831.32","","{2276DF19-E87D-CC49-477D-C4E50AB5E82A}"
"427887","491792","990.91",".00",".00",".00",".00","990.91",".00",".00",".00",".00","990.91",".00","990.91",".00",".00",".00","990.91",".00",".00",".00","990.91","","{A8E2DF74-957D-8B2C-9709-E6BDDC33F86F}"
"427890","491795",".00","1550.00",".00",".00","1550.00","1550.00",".00",".00",".00",".00","1550.00",".00",".00",".00","1550.00","1550.00","1550.00",".00",".00",".00","1550.00","","{A8E06169-5AFB-D13A-ECCC-C7F0CE921ED9}"
"427894","491799","2706.95",".00",".00",".00",".00","2706.95",".00",".00",".00",".00","2706.95","2000.00","2706.95",".00",".00",".00","2706.95",".00",".00",".00","2706.95","","{233CA01B-2C1E-4F50-3420-A1F3AB4C23CC}"
"427901","491806","832.54",".00",".00",".00",".00","832.54",".00",".00",".00",".00","832.54",".00","832.54",".00",".00",".00","832.54",".00",".00",".00","832.54","","{8DD67F0B-85E2-A46B-1555-F74A2034E0BC}"
"427902","491807","141.37",".00",".00",".00",".00","141.37",".00",".00",".00",".00","141.37",".00","1141.37",".00",".00",".00","1141.37","1000.00",".00","1000.00","141.37","","{B5A39F30-18F6-FB80-5E91-5DCE2E5E1D5F}"
"427903","491808","565.25",".00",".00",".00",".00","565.25",".00",".00",".00",".00","565.25","3491.74","565.25",".00",".00",".00","565.25",".00",".00",".00","565.25","","{93BFB11F-BD5C-789E-B9BB-B55CA740FBCC}"
"427904","491809","171981.33","58050.00","10097.95",".00","68147.95","240129.28","42488.26",".00",".00","42488.26","197641.02",".00","171981.33",".00","68147.95","68147.95","240129.28",".00","42488.26","42488.26","197641.02","","{2CF55647-04A7-2B18-CFE6-AB25E1F0293F}"
"427908","491813",".00","15000.00",".00",".00","15000.00","15000.00",".00",".00",".00",".00","15000.00",".00",".00",".00","15000.00","15000.00","15000.00",".00",".00",".00","15000.00","","{337D06DD-32D7-6544-8508-0389B94D5781}"
"427910","491815","260.35",".00",".00",".00",".00","260.35",".00",".00",".00",".00","260.35","100.00","230.35","100.00",".00","100.00","330.35","70.00",".00","70.00","260.35","","{0DF7E8BC-1F1F-41CF-2E4C-0F569CCF3B02}"
"427912","491817","26516.16","5130.19",".00",".00","5130.19","31646.35","6244.55",".00",".00","6244.55","25401.80",".00","16824.06","24297.60","5130.19","29427.79","46251.85","14605.50","6244.55","20850.05","25401.80","","{901ECB80-2A6F-5665-D22F-93CF24F01F72}"
"427915","491820","55.00",".00",".00",".00",".00","55.00",".00",".00",".00",".00","55.00","25.00","55.00",".00",".00",".00","55.00",".00",".00",".00","55.00","","{913A53FC-41A3-C6F5-9673-9CBA9D112A93}"
"427916","491821",".00","1100.00",".00",".00","1100.00","1100.00",".00",".00",".00",".00","1100.00",".00",".00",".00","1100.00","1100.00","1100.00",".00",".00",".00","1100.00","","{C4B3A582-6EA5-3266-7423-304ABAF9CD1D}"
"427917","491822","8643.59","3758.00",".00",".00","3758.00","12401.59","2603.91",".00",".00","2603.91","9797.68",".00","7027.90","3031.00","3758.00","6789.00","13816.90","1415.31","2603.91","4019.22","9797.68","","{7C3F7D2E-B8E7-8DE5-4AAC-7C0EE9BAFD9B}"
"427918","491823","769.45","200.00",".00",".00","200.00","969.45","200.00",".00",".00","200.00","769.45",".00","1537.45","400.00","200.00","600.00","2137.45","1168.00","200.00","1368.00","769.45","","{0DB9B08F-8451-8740-DCE9-01935AB67DA6}"
"427919","491824","11527.99","340.00",".33",".00","340.33","11868.32","473.52",".00",".00","473.52","11394.80",".00","6858.47","5665.23","340.33","6005.56","12864.03","995.71","473.52","1469.23","11394.80","","{8D5AD12C-6026-9F62-77BB-C2D27C3C9EDF}"
"427923","491828","3323.12",".00",".00",".00",".00","3323.12",".00",".00",".00",".00","3323.12","50.00","5323.12",".00",".00",".00","5323.12","2000.00",".00","2000.00","3323.12","","{46D65A83-39E3-2B19-A5DF-98720EEDDD53}"
"427932","491838","554.28","1801.60",".00",".00","1801.60","2355.88","916.60",".00",".00","916.60","1439.28",".00","1343.64","785.79","1801.60","2587.39","3931.03","1575.15","916.60","2491.75","1439.28","","{9D3C2145-707A-66BE-1394-184F786D35E5}"
"427934","491840","1431.35",".00",".00",".00",".00","1431.35",".00",".00",".00",".00","1431.35","200.00","2226.35","5.00",".00","5.00","2231.35","800.00",".00","800.00","1431.35","","{A10F2A24-14DE-03B2-08D0-705CDA380296}"
"427935","491841","14884.28","475.01",".00",".00","475.01","15359.29","11915.64",".00",".00","11915.64","3443.65",".00","17415.16","29088.35","475.01","29563.36","46978.52","31619.23","11915.64","43534.87","3443.65","","{86722513-78E4-60F4-3A19-DCC88F19AE06}"
"427938","491844",".00","1405.00",".00",".00","1405.00","1405.00","159.37",".00",".00","159.37","1245.63",".00",".00",".00","1405.00","1405.00","1405.00",".00","159.37","159.37","1245.63","","{A38EAC5D-FF2C-8915-9642-D5F6C74C7498}"
"427941","491847","95072.58","2651.36",".00",".00","2651.36","97723.94","25181.99",".00",".00","25181.99","72541.95",".00","95072.58",".00","2651.36","2651.36","97723.94",".00","25181.99","25181.99","72541.95","","{680D4627-EF35-2E15-2C89-650846DD9D03}"
"427946","491853","309.42",".00",".00",".00",".00","309.42",".00",".00",".00",".00","309.42",".00","309.42",".00",".00",".00","309.42",".00",".00",".00","309.42","","{0C22B690-AC8C-CA2F-7C5E-DF43D4E4A9A4}"
"427947","491854","68.95",".00",".00",".00",".00","68.95",".00",".00",".00",".00","68.95",".00","68.95",".00",".00",".00","68.95",".00",".00",".00","68.95","","{47108A7A-7FB1-E52D-E52E-C3F59BF7CD45}"
"427948","491855","115814.45","32203.17",".00",".00","32203.17","148017.62","16357.57",".00",".00","16357.57","131660.05",".00","101591.68","24855.00","32203.17","57058.17","158649.85","10632.23","16357.57","26989.80","131660.05","","{85819C0A-304A-17EB-8A06-8D72FB29A3C7}"
"427949","491856","2341.95","4990.81",".00",".00","4990.81","7332.76","2219.48",".00",".00","2219.48","5113.28",".00",".00","2993.95","4990.81","7984.76","7984.76","652.00","2219.48","2871.48","5113.28","","{A41D1648-F9EF-A3E4-AFBE-493B39AD1942}"
"427951","491858","2625.52",".00",".00",".00",".00","2625.52",".00",".00",".00",".00","2625.52",".00","2625.52",".00",".00",".00","2625.52",".00",".00",".00","2625.52","","{C46FEEAC-9B2A-CCFA-A159-77793DFA16BF}"
"427952","491859","18984.23","15140.00",".15",".00","15140.15","34124.38","17860.04",".00",".00","17860.04","16264.34",".00","4998.61","16171.56","15140.15","31311.71","36310.32","2185.94","17860.04","20045.98","16264.34","","{5595A578-6A21-B387-0C8F-635B9BFD5845}"
"427953","491860","5217.55",".00",".00",".00",".00","5217.55","200.00",".00",".00","200.00","5017.55",".00","5797.55",".00",".00",".00","5797.55","580.00","200.00","780.00","5017.55","","{B89099E5-BEBD-3E42-99F0-7C16AA321D82}"
"427954","491861","4218.16",".00",".00",".00",".00","4218.16",".00",".00",".00",".00","4218.16",".00","4218.16",".00",".00",".00","4218.16",".00",".00",".00","4218.16","","{1EA4E743-040A-5D8B-2CE5-2D5074712B84}"
"427955","491862","916.61",".00",".00",".00",".00","916.61",".00",".00",".00",".00","916.61",".00","916.61",".00",".00",".00","916.61",".00",".00",".00","916.61","","{C4BDCB4B-1C07-5A41-6BF2-D20B3E1CD856}"
"427957","491864","350.00",".00",".00",".00",".00","350.00",".00",".00",".00",".00","350.00",".00","350.00",".00",".00",".00","350.00",".00",".00",".00","350.00","","{7C1DB21C-1C38-B263-1B6A-CA461D90F815}"
"427958","491865","1527.37",".00","1244.67",".00","1244.67","2772.04","1564.67",".00",".00","1564.67","1207.37",".00","1527.37",".00","1244.67","1244.67","2772.04",".00","1564.67","1564.67","1207.37","","{2942CD77-73F1-8E7D-37B4-4A952A835370}"
"427959","491866","13381.77",".00",".00",".00",".00","13381.77",".00",".00",".00",".00","13381.77",".00","13381.77",".00",".00",".00","13381.77",".00",".00",".00","13381.77","","{A35B4058-6121-4B2D-F34B-4FAC1FD2DD60}"
"427960","491867","1997.72",".00",".00",".00",".00","1997.72",".00",".00",".00",".00","1997.72",".00","2497.72",".00",".00",".00","2497.72","500.00",".00","500.00","1997.72","","{14CF0C2D-4F82-61A4-2CE3-B99A47A98D45}"
"427961","491868",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","3099.67",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{48FA6603-5276-4809-47AB-68A09C116395}"
"427963","491870","8511.86",".00",".00",".00",".00","8511.86",".00",".00",".00",".00","8511.86",".00","9011.86",".00",".00",".00","9011.86","500.00",".00","500.00","8511.86","","{8686BC04-55EE-4E78-091C-8D1ABE1C4F86}"
"427964","491871","1231.38",".00",".00",".00",".00","1231.38",".00",".00",".00",".00","1231.38",".00","1231.38",".00",".00",".00","1231.38",".00",".00",".00","1231.38","","{EB780223-1173-ACD4-32A8-58BA05B98189}"
"427966","491873","640.66",".00",".00",".00",".00","640.66",".00",".00",".00",".00","640.66",".00","2455.24",".00",".00",".00","2455.24","1814.58",".00","1814.58","640.66","","{E3BFDD36-D487-5F17-B7AF-6B81A587E3A1}"
"427967","491874","2.84",".00",".00",".00",".00","2.84",".00",".00",".00",".00","2.84","1400.00","2.84",".00",".00",".00","2.84",".00",".00",".00","2.84","","{B2C097B0-66FC-678B-97C0-C49D0165CEE8}"
"427968","491875","9.30",".00",".00",".00",".00","9.30",".00",".00",".00",".00","9.30",".00","9.30",".00",".00",".00","9.30",".00",".00",".00","9.30","","{333E895A-2E02-433D-8B96-AC9CF1F945DD}"
"427969","491876","2363.72","4767.20",".00",".00","4767.20","7130.92","778.00",".00",".00","778.00","6352.92",".00","1061.57","1350.00","4767.20","6117.20","7178.77","47.85","778.00","825.85","6352.92","","{C48CDAA7-9633-77A5-91B7-0FDA794687BC}"
"427970","491877","1724.39",".00",".00",".00",".00","1724.39",".00",".00",".00",".00","1724.39",".00","3069.36","2250.50",".00","2250.50","5319.86","3595.47",".00","3595.47","1724.39","","{3A6AB0EE-2D6B-0651-1002-E63DAAFFD48B}"
"427973","491880","1172.36",".00",".00",".00",".00","1172.36",".00","1172.36",".00","1172.36",".00","16020.61","1172.36",".00",".00",".00","1172.36",".00","1172.36","1172.36",".00","","{1C5AF70B-A417-8933-887B-816F60923D0B}"
"427974","491881","8161.02",".00",".00",".00",".00","8161.02",".00",".00",".00",".00","8161.02",".00","8161.02",".00",".00",".00","8161.02",".00",".00",".00","8161.02","","{3767DE0C-3EDB-7F52-464D-B8A248086054}"
"427975","491882","2153.69",".00",".00",".00",".00","2153.69",".00",".00",".00",".00","2153.69",".00","2153.69",".00",".00",".00","2153.69",".00",".00",".00","2153.69","","{6D94B08B-1D47-2E4A-E96D-7401AE23F347}"
"427976","491883","12924.57",".00",".00",".00",".00","12924.57","126.00",".00",".00","126.00","12798.57",".00","12924.57",".00",".00",".00","12924.57",".00","126.00","126.00","12798.57","","{2BB599F9-99F9-51D1-BF1C-426B55048541}"
"428979","492886","9535.03","4643.81",".00",".00","4643.81","14178.84","5989.75",".00",".00","5989.75","8189.09",".00","9572.20","1860.00","4643.81","6503.81","16076.01","1897.17","5989.75","7886.92","8189.09","","{E221F3AE-10F2-BE93-73C3-F5417E4264F5}"
"428981","492888","127.48","450.00",".00",".00","450.00","577.48","302.40",".00",".00","302.40","275.08",".00","417.15","1770.00","450.00","2220.00","2637.15","2059.67","302.40","2362.07","275.08","","{627C4F29-B286-4A85-B665-B7ED13992CF9}"
"428983","492890","5153.67",".00",".00",".00",".00","5153.67",".00",".00",".00",".00","5153.67","800.00","5153.67",".00",".00",".00","5153.67",".00",".00",".00","5153.67","","{17C5E477-F032-C830-3100-AFA74DEC8828}"
"428984","492891","13761.38","2360.00",".00",".00","2360.00","16121.38","2920.00",".00",".00","2920.00","13201.38",".00","14928.62","2145.00","2360.00","4505.00","19433.62","3312.24","2920.00","6232.24","13201.38","","{F5730D88-D1FA-A73E-7F3B-46450DA934F1}"
"428987","492894","7456.40",".00",".00",".00",".00","7456.40",".00",".00",".00",".00","7456.40",".00","3735.94","3720.46",".00","3720.46","7456.40",".00",".00",".00","7456.40","","{092345C2-1A6F-CF85-EA83-67B5FABBF154}"
"428988","492895","4.56",".00",".00",".00",".00","4.56",".00",".00",".00",".00","4.56",".00","155.56",".00",".00",".00","155.56","151.00",".00","151.00","4.56","","{451E2641-52B0-3F56-3660-38A7C3E1566B}"
"428989","492896","49.24",".00",".00",".00",".00","49.24",".00",".00",".00",".00","49.24",".00","49.24",".00",".00",".00","49.24",".00",".00",".00","49.24","","{20783BE9-071D-CB8F-47E8-48C7DBFCECAE}"
"428995","492902","61.20",".00",".00",".00",".00","61.20",".00",".00",".00",".00","61.20","300.00","61.20",".00",".00",".00","61.20",".00",".00",".00","61.20","","{EC58D2BE-7439-70E0-57B8-14719E474B01}"
"428996","492903","100.00",".00",".00",".00",".00","100.00",".00",".00",".00",".00","100.00",".00","100.00",".00",".00",".00","100.00",".00",".00",".00","100.00","","{60FDE68D-693C-BE8F-4157-472C15E9E6F3}"
"429000","492908","1141.76","1500.00",".00",".00","1500.00","2641.76","108.92",".00",".00","108.92","2532.84",".00","3326.68","84.00","1500.00","1584.00","4910.68","2268.92","108.92","2377.84","2532.84","","{AC448B60-039D-B862-E045-51B9B398118A}"
"429001","492909","2001.68","608.00",".00",".00","608.00","2609.68","608.00",".00",".00","608.00","2001.68",".00","2001.68","1646.95","608.00","2254.95","4256.63","1646.95","608.00","2254.95","2001.68","","{56911A2C-F694-32B0-6E9F-858511B5450B}"
"429002","492910","4291.32","834.00",".00",".00","834.00","5125.32","1262.50",".00",".00","1262.50","3862.82",".00","4291.32",".00","834.00","834.00","5125.32",".00","1262.50","1262.50","3862.82","","{8B696CE9-C0DA-FF1A-80A3-42AD4C3D65DA}"
"429004","492912","1000.00",".00",".00",".00",".00","1000.00",".00",".00",".00",".00","1000.00","1000.00",".00","1000.00",".00","1000.00","1000.00",".00",".00",".00","1000.00","","{6A66B549-8C62-251B-B0B7-731747E9E265}"
"429005","492913","759.84",".00",".00",".00",".00","759.84",".00",".00",".00",".00","759.84",".00","759.84",".00",".00",".00","759.84",".00",".00",".00","759.84","","{1DAB4A95-11FF-0D51-60B6-33BF0F7587FC}"
"429007","492915",".00","1941.83",".00",".00","1941.83","1941.83","551.02",".00",".00","551.02","1390.81",".00",".00",".00","1941.83","1941.83","1941.83",".00","551.02","551.02","1390.81","","{0209B7C9-16EB-C7AA-EC18-B034D1C82998}"
"429010","492918","5464.61","41581.97",".00",".00","41581.97","47046.58","4652.33",".00",".00","4652.33","42394.25",".00","14330.75","3400.00","41581.97","44981.97","59312.72","12266.14","4652.33","16918.47","42394.25","","{66BE7313-78A2-BD49-607C-96C2A16247E1}"
"429012","492920","207.57",".00",".00",".00",".00","207.57",".00",".00",".00",".00","207.57",".00","327.57",".00",".00",".00","327.57","120.00",".00","120.00","207.57","","{CA38A988-B97C-6906-364A-A057634FE8E3}"
"429014","492922","4684.37",".00",".00",".00",".00","4684.37","139.98",".00",".00","139.98","4544.39",".00","4804.36",".00",".00",".00","4804.36","119.99","139.98","259.97","4544.39","","{5B128FA6-D666-F45A-53CF-4C75A5702989}"
"429017","492925","3016.60","146.00",".00",".00","146.00","3162.60","126.00",".00",".00","126.00","3036.60",".00","2956.60","1083.50","146.00","1229.50","4186.10","1023.50","126.00","1149.50","3036.60","","{10B64819-1528-6D97-93E8-BF6C05F91F65}"
"429021","492930",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","3458.49",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{F233E7E9-E164-F6D8-D0B1-99BDAF868E32}"
"429025","492933","13.11",".00",".00",".00",".00","13.11",".00",".00",".00",".00","13.11",".00","13.11",".00",".00",".00","13.11",".00",".00",".00","13.11","","{892B81A8-B08F-17EA-54BE-72F9EB5ECF36}"
"429032","492940","2216.84",".00",".00",".00",".00","2216.84","319.73",".00",".00","319.73","1897.11","1000.00","4397.05","500.00",".00","500.00","4897.05","2680.21","319.73","2999.94","1897.11","","{3A6DE400-78C7-25A4-65B1-CF3EF3B8A505}"
"429034","492942","32753.53","17377.28",".00",".00","17377.28","50130.81","22271.97",".00",".00","22271.97","27858.84",".00","29058.47","18421.22","17377.28","35798.50","64856.97","14726.16","22271.97","36998.13","27858.84","","{DEDF9378-FB51-9C48-933A-31A18E320A84}"
"429036","492944","7480.18","25.00",".00",".00","25.00","7505.18","415.95",".00",".00","415.95","7089.23",".00","7480.18",".00","25.00","25.00","7505.18",".00","415.95","415.95","7089.23","","{81FE2DEA-849F-0AF7-0688-0134ABAD4766}"
"429037","492945","181.47",".00",".00","10.58","10.58","192.05","42.00","10.58",".00","52.58","139.47",".00","181.47",".00","10.58","10.58","192.05",".00","52.58","52.58","139.47","","{1DDC8183-505C-1F48-AB8F-D55FDDDA639A}"
"429038","492946","67.99",".00",".00","1.00","1.00","68.99",".00",".00",".00",".00","68.99","6.00","67.99",".00","1.00","1.00","68.99",".00",".00",".00","68.99","","{0819C8E0-9AAC-6FEE-AE83-FB41C076B304}"
"429039","492947","6747.15","1500.00","206.77",".00","1706.77","8453.92",".00",".00",".00",".00","8453.92",".00","6937.76","456.24","1706.77","2163.01","9100.77","646.85",".00","646.85","8453.92","","{F11F4DB7-99CB-B7C1-6F2F-527829DDB9BE}"
"429040","492948","6747.15","1500.00","206.77",".00","1706.77","8453.92",".00",".00",".00",".00","8453.92",".00","6937.76","456.24","1706.77","2163.01","9100.77","646.85",".00","646.85","8453.92","","{F11F4DB7-99CB-B7C1-6F2F-527829DDB9BE}"
"429042","492950","100.22","1000.00",".00",".00","1000.00","1100.22","1000.00",".00",".00","1000.00","100.22",".00","1740.22",".00","1000.00","1000.00","2740.22","1640.00","1000.00","2640.00","100.22","","{D257E3F3-7189-1249-351E-97F8159AD163}"
"429045","492953","20248.29","865.00",".00",".00","865.00","21113.29","25.31",".00",".00","25.31","21087.98","127.73","20055.35","12585.00","865.00","13450.00","33505.35","12392.06","25.31","12417.37","21087.98","","{53BDCDC2-070A-8718-26FF-0B2E69397BE9}"
"429047","492955","837.40",".00",".00",".00",".00","837.40",".00",".00",".00",".00","837.40","1390.49","837.40",".00",".00",".00","837.40",".00",".00",".00","837.40","","{00BE66F3-8E66-CADE-6496-7B66047AF8AE}"
"429048","492956","837.40",".00",".00",".00",".00","837.40",".00",".00",".00",".00","837.40","1390.49","837.40",".00",".00",".00","837.40",".00",".00",".00","837.40","","{00BE66F3-8E66-CADE-6496-7B66047AF8AE}"
"429049","492957","12405.33","5250.00","250.00",".00","5500.00","17905.33","5762.38",".00",".00","5762.38","12142.95","1100.00",".00","13830.00","5500.00","19330.00","19330.00","1424.67","5762.38","7187.05","12142.95","","{B613D6C4-B3E9-D4EE-B966-D70C5966C0C4}"
"429052","492960","1.49",".00",".00",".00",".00","1.49",".00",".00",".00",".00","1.49",".00","29.49",".00",".00",".00","29.49","28.00",".00","28.00","1.49","","{3722FCFB-E954-9D96-33D4-3588C51372FB}"
"429055","492964","1590.47",".00",".00",".00",".00","1590.47",".00",".00",".00",".00","1590.47",".00","1590.47","13550.00",".00","13550.00","15140.47","13550.00",".00","13550.00","1590.47","","{A9377EEE-A0C8-7F17-17CF-1098CBD734B2}"
"429056","492965",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","9530.18",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{E9E8D2FE-0DF5-2DC8-DD69-1D0F1E8D377F}"
"429058","492967","378.00","5186.67",".00",".00","5186.67","5564.67","1149.67",".00",".00","1149.67","4415.00","378.00",".00","378.00","5186.67","5564.67","5564.67",".00","1149.67","1149.67","4415.00","","{82732E04-D3F4-4125-C3F8-6C38EEFF4C9A}"
"429061","492972",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{5143AAA0-6429-9A0B-A146-C95A725AA12C}"
