"ScheduleGId","ReportId","ScheduleACount","ScheduleATotal","ScheduleBCount","ScheduleBTotal","UnItemizedCount","UnItemizedTotal","UnItemizedInKindCount","UnItemizedInKindTotal","AllContributionsCount","AllContributionsTotal","ScheduleCTotal","ScheduleBTotalAgain","UnItemizedInKindTotalAgain","ScheduleDTotal","TotalInKindAndExpenditures","BeginningLoanBalance","LoansReceivedTotal","LoansReceivedAndExistingTotal","LoansPaidTotal","NewLoanBalance","ScheduleId","ReportUID"
"400967","469249","13","4110.00","9","355.13","49","2148.20","0",".00","71","6613.33","352.80","355.13",".00","1460.89","1816.02","786.03",".00","786.03","786.03",".00","","{64E4C676-BAEF-8957-CEC6-BECEA7A87AF0}"
"400968","469250","1","25.00","0",".00","13","706.00","0",".00","14","731.00",".00",".00",".00","2075.24","2075.24",".00",".00",".00",".00",".00","","{473A7471-3F66-352C-DF94-F7C7AE9E4E7E}"
"400969","469251","7","1120.00","2","18.00","47","426.19","0",".00","56","1564.19",".00","18.00",".00","1088.93","1106.93",".00",".00",".00",".00",".00","","{04E06DCF-B48D-CE2D-E3CB-43F9A163ECF8}"
"400970","469252","12","2567.61","1","9.00","570","3129.41","0",".00","583","5706.02",".00","9.00",".00","5649.99","5658.99",".00",".00",".00",".00",".00","","{10793902-173E-8F3C-FC25-53C341EB82CE}"
"400971","469253","4","526.85","1","9.00","107","612.45","0",".00","112","1148.30",".00","9.00",".00","4203.86","4212.86",".00",".00",".00",".00",".00","","{6FDF6AE5-9C6A-D03F-643D-3B7D080A2446}"
"400973","469255","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{17D33E80-325A-016A-06C8-E9EF95C64141}"
"400974","469256","16","13250.00","0",".00","23","1178.16","1","53.53","40","14481.69",".00",".00","53.53","40291.92","40345.45",".00",".00",".00",".00",".00","","{C1AC135F-7358-61D8-0E3A-03A1ADBECAD6}"
"400975","469257","0",".00","0",".00","0",".00","0",".00","0",".00","49.68",".00",".00","2355.80","2355.80",".00",".00",".00",".00",".00","","{1F5C7AA2-D5C4-4E79-22AE-5CFF01724155}"
"400976","469258","0",".00","0",".00","0",".00","0",".00","0",".00","33.72",".00",".00","8904.18","8904.18",".00",".00",".00",".00",".00","","{B7C21984-A75C-4063-BFF4-C8105EAD8C46}"
"400977","469259","0",".00","0",".00","0",".00","0",".00","0",".00","16.60",".00",".00","89.25","89.25",".00",".00",".00",".00",".00","","{FC138F00-DBE0-0AC1-D270-0728B5AE31B9}"
"400980","469262","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{1BC8DA36-9410-6A2D-EB30-7BAB59426666}"
"400991","469284","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{D36AD821-8AAD-F6B1-AFA9-0B5B671233A2}"
"400992","469285","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{FC2D85E0-E5BA-BF04-A2AA-18579F8137DA}"
"400993","469286","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{40EA5A30-EA4B-4CEC-EDB8-4FD05C0C3DB7}"
"400994","469287","40","7013.50","1","1500.00","150","5160.61","0",".00","191","13674.11","69.83","1500.00",".00","3918.36","5418.36",".00",".00",".00",".00",".00","","{7B9E2946-667D-6CFC-F2EE-27FA89C1E62D}"
"400996","469289","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{CF1DBB63-F3B8-AF19-7411-63746041733B}"
"400999","469292","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{ECC4531A-1C1A-C080-DA2C-94CD7D2D38F0}"
"401005","469299","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00","100.00","100.00","100.00",".00","","{ED452B42-F1A7-3096-B45D-B3D05CB3C88B}"
"401006","469300","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{9285595C-2031-02D5-DA32-7729E6732CC6}"
"401009","469303","20","13125.00","0",".00","4","145.00","1","100.00","25","13370.00",".00",".00","100.00","11168.68","11268.68","601.36",".00","601.36",".00","601.36","","{9D527701-D4DE-6F25-3189-7C337F97A751}"
"401010","469304","3","11500.00","0",".00","1","50.00","0",".00","4","11550.00",".00",".00",".00","2358.73","2358.73","601.36",".00","601.36",".00","601.36","","{C2E03CC8-A464-0284-DFD2-70C46136174B}"
"401011","469305","7","7000.00","0",".00","0",".00","0",".00","7","7000.00",".00",".00",".00","1569.12","1569.12","601.36",".00","601.36",".00","601.36","","{4DDE50B8-D48D-3914-366C-FB3B3328C429}"
"401012","469306","5","8500.00","0",".00","0",".00","0",".00","5","8500.00",".00",".00",".00","2541.71","2541.71","601.36",".00","601.36",".00","601.36","","{2C2B37A6-1F01-2A6D-8FBF-22C57927D1D0}"
"401013","469307","3","1750.00","0",".00","0",".00","0",".00","3","1750.00",".00",".00",".00","9180.83","9180.83","601.36",".00","601.36","601.36",".00","","{6050CC5D-52E8-5BE4-4F08-3BDDEDDD0F8F}"
"401014","469308","1","250.00","0",".00","0",".00","0",".00","1","250.00",".00",".00",".00","1681.69","1681.69",".00",".00",".00",".00",".00","","{4E7CEA18-C501-A95D-A82E-5D0B779B516F}"
"401015","469309","16","8000.00","3","987.81","0",".00","0",".00","19","8987.81",".00","987.81",".00","10938.36","11926.17",".00",".00",".00",".00",".00","","{5253F7B2-1075-811B-E3E0-4622F344CD90}"
"401016","469310","29","26650.00","0",".00","10","635.00","0",".00","39","27285.00",".00",".00",".00","23689.47","23689.47",".00",".00",".00",".00",".00","","{3BC6FD2E-941B-C5F0-BA95-D19383B1BDB9}"
"401017","469311","7","7500.00","0",".00","0",".00","0",".00","7","7500.00",".00",".00",".00","24855.76","24855.76",".00",".00",".00",".00",".00","","{760780B0-6052-3F17-E888-FC98177951CE}"
"401018","469312","1","500.00","0",".00","0",".00","0",".00","1","500.00",".00",".00",".00","2451.23","2451.23",".00",".00",".00",".00",".00","","{902E81F2-8325-3FBA-CB95-51413C737067}"
"401019","469313","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","4194.74","4194.74",".00",".00",".00",".00",".00","","{34C78D74-276B-880D-E02E-DABBEEB82461}"
"401020","469314","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","1015.15","1015.15",".00",".00",".00",".00",".00","","{76AB2FC5-2779-9E7D-4447-CFDC34796646}"
"401021","469315","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","152.71","152.71",".00",".00",".00",".00",".00","","{EA787217-0955-9169-7EE6-932059A3DFA5}"
"401022","469316","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","2081.71","2081.71",".00",".00",".00",".00",".00","","{FD59AAFF-3890-8397-09BA-85B023EBB8B6}"
"401025","469322","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{4E48B175-8A63-25C0-2504-DF06548513D3}"
"401028","469326","20","13125.00","0",".00","4","145.00","1","100.00","25","13370.00",".00",".00","100.00","11378.91","11478.91","601.36",".00","601.36",".00","601.36","","{9D527701-D4DE-6F25-3189-7C337F97A751}"
"401029","469327","3","11500.00","0",".00","1","50.00","0",".00","4","11550.00",".00",".00",".00","2358.73","2358.73","601.36",".00","601.36",".00","601.36","","{C2E03CC8-A464-0284-DFD2-70C46136174B}"
"401031","469329","7","7000.00","0",".00","0",".00","0",".00","7","7000.00",".00",".00",".00","1569.12","1569.12","601.36",".00","601.36",".00","601.36","","{4DDE50B8-D48D-3914-366C-FB3B3328C429}"
"401032","469330","5","8500.00","0",".00","0",".00","0",".00","5","8500.00",".00",".00",".00","2541.71","2541.71","601.36",".00","601.36",".00","601.36","","{2C2B37A6-1F01-2A6D-8FBF-22C57927D1D0}"
"401033","469331","3","1750.00","0",".00","0",".00","0",".00","3","1750.00",".00",".00",".00","9180.83","9180.83","601.36",".00","601.36","601.36",".00","","{6050CC5D-52E8-5BE4-4F08-3BDDEDDD0F8F}"
"401034","469332","1","250.00","0",".00","0",".00","0",".00","1","250.00",".00",".00",".00","1681.69","1681.69",".00",".00",".00",".00",".00","","{4E7CEA18-C501-A95D-A82E-5D0B779B516F}"
"401035","469333","16","8000.00","3","987.81","0",".00","0",".00","19","8987.81",".00","987.81",".00","10938.36","11926.17",".00",".00",".00",".00",".00","","{5253F7B2-1075-811B-E3E0-4622F344CD90}"
"401036","469334","29","26650.00","0",".00","10","635.00","0",".00","39","27285.00",".00",".00",".00","23689.47","23689.47",".00",".00",".00",".00",".00","","{3BC6FD2E-941B-C5F0-BA95-D19383B1BDB9}"
"401037","469335","7","7500.00","0",".00","0",".00","0",".00","7","7500.00",".00",".00",".00","24855.76","24855.76",".00",".00",".00",".00",".00","","{760780B0-6052-3F17-E888-FC98177951CE}"
"401038","469336","1","500.00","0",".00","0",".00","0",".00","1","500.00",".00",".00",".00","2451.23","2451.23",".00",".00",".00",".00",".00","","{902E81F2-8325-3FBA-CB95-51413C737067}"
"401039","469337","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","4194.74","4194.74",".00",".00",".00",".00",".00","","{34C78D74-276B-880D-E02E-DABBEEB82461}"
"401040","469338","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","1015.15","1015.15",".00",".00",".00",".00",".00","","{76AB2FC5-2779-9E7D-4447-CFDC34796646}"
"401041","469339","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","152.71","152.71",".00",".00",".00",".00",".00","","{EA787217-0955-9169-7EE6-932059A3DFA5}"
"401042","469340","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","2081.71","2081.71",".00",".00",".00",".00",".00","","{FD59AAFF-3890-8397-09BA-85B023EBB8B6}"
"401043","469341","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","175.30","175.30",".00",".00",".00",".00",".00","","{6CDB82AB-8C82-4454-C3BE-07FB320B846E}"
"401045","469343","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{14D269F3-F9AE-5F6D-10F7-FB13ED4B925A}"
"401050","469354","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{7783878A-A553-E39B-0CF2-78966D6090E0}"
"401071","469377","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".72",".72",".00",".00",".00",".00",".00","","{020804DC-7C5E-BF60-BB22-50FC98FC7DFD}"
"401072","469378","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","193.03","193.03",".00",".00",".00",".00",".00","","{A03C7AD0-6CEA-358B-0E08-5C96729EF821}"
"401078","469384","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{D95EFA94-177C-024B-D1CF-5019C521BC21}"
"401083","469389","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{3439329E-6971-FC38-0F36-E7C27AF7063E}"
"401085","469391","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{68ABA55A-328B-8784-744D-8AC279A55C9B}"
"401087","469394","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","5.66","5.66",".00",".00",".00",".00",".00","","{87D83290-3165-AC44-6BBD-6E38D6B74226}"
"401094","469401","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{14616D4A-33C8-34B1-934B-24454F2B5F7A}"
"401095","469402","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{14616D4A-33C8-34B1-934B-24454F2B5F7A}"
"401098","469405","16","8000.00","3","987.81","0",".00","0",".00","19","8987.81",".00","987.81",".00","10973.46","11961.27",".00",".00",".00",".00",".00","","{5253F7B2-1075-811B-E3E0-4622F344CD90}"
"401099","469406","29","26650.00","0",".00","10","635.00","0",".00","39","27285.00",".00",".00",".00","23689.47","23689.47",".00",".00",".00",".00",".00","","{3BC6FD2E-941B-C5F0-BA95-D19383B1BDB9}"
"401100","469407","7","7500.00","0",".00","0",".00","0",".00","7","7500.00",".00",".00",".00","24855.76","24855.76",".00",".00",".00",".00",".00","","{760780B0-6052-3F17-E888-FC98177951CE}"
"401102","469409","7","7500.00","0",".00","0",".00","0",".00","7","7500.00",".00",".00",".00","24855.76","24855.76",".00",".00",".00",".00",".00","","{760780B0-6052-3F17-E888-FC98177951CE}"
"401103","469410","1","500.00","0",".00","0",".00","0",".00","1","500.00",".00",".00",".00","2451.23","2451.23",".00",".00",".00",".00",".00","","{902E81F2-8325-3FBA-CB95-51413C737067}"
"401104","469411","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","4194.74","4194.74",".00",".00",".00",".00",".00","","{34C78D74-276B-880D-E02E-DABBEEB82461}"
"401105","469412","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","1015.15","1015.15",".00",".00",".00",".00",".00","","{76AB2FC5-2779-9E7D-4447-CFDC34796646}"
